"F [GHz]","Y(1,1) []"
5.98994974874372,8.70898205881702e-17 + 1.27707006613352i
6.00502512562814,2.1097659164976e-15 + 1.43131996045616i
6.02010050251256,3.15989139195221e-15 + 1.59788319931327i
6.03517587939699,-4.38787497487778e-15 + 1.76001217993854i
6.05025125628141,2.27596346736564e-15 + 1.92182706439661i
6.06532663316583,4.9099412359426e-16 + 2.08355529382801i
6.08040201005025,1.86198142782591e-15 + 2.24526458999101i
6.09547738693467,2.67497085307819e-15 + 2.40699148070911i
6.1105527638191,1.97494090604205e-15 + 2.5687629354422i
6.12562814070352,-5.23049623426281e-15 + 2.73060220373619i
6.14070351758794,1.62932773168803e-15 + 2.89253085795507i
6.15577889447236,1.0651125702667e-15 + 3.05456964167642i
6.17085427135678,7.11839283617674e-17 + 3.21673886931692i
6.18592964824121,5.85231152684456e-15 + 3.37905863422247i
6.20100502512563,-3.57823639468927e-16 + 3.54154892672868i
6.21608040201005,2.87076832943721e-15 + 3.70422970657243i
6.23115577889447,1.15173044559041e-15 + 3.86712095070472i
6.24623115577889,-1.29971925758644e-15 + 4.03024268717343i
6.26130653266332,4.34638166023294e-16 + 4.19361502079216i
6.27638190954774,-2.90729730997101e-16 + 4.35725815380525i
6.29145728643216,-1.60456821032722e-15 + 4.52119240342766i
6.30653266331658,5.85577879643008e-16 + 4.68543821739923i
6.321608040201,3.52653453960901e-15 + 4.85001618826807i
6.33668341708543,2.65506175847134e-15 + 5.01494706686472i
6.35175879396985,-5.03499682484514e-15 + 5.18025177527424i
6.36683417085427,-5.50165131280508e-15 + 5.34595141951637i
6.38190954773869,2.3891049468909e-15 + 5.51206730208139i
6.39698492462312,0 + 5.67862093442902i
6.41206030150754,2.10886867835713e-15 + 5.84563404953026i
6.42713567839196,3.63174253782421e-15 + 6.01312861451379i
6.44221105527638,6.08133445066689e-16 + 6.18112684346633i
6.4572864321608,-3.05532037513158e-15 + 6.34965121042747i
6.47236180904523,1.84225038815438e-15 + 6.51872446261373i
6.48743718592965,9.25789212707306e-15 + 6.68836963390228i
6.50251256281407,1.55098341092495e-15 + 6.85861005860241i
6.51758793969849,6.5487075739163e-15 + 7.02946938554054i
6.53266331658291,-1.25414676387312e-15 + 7.20097159248345i
6.54773869346734,9.45833428702221e-16 + 7.37314100092406i
6.56281407035176,-6.34134620619015e-16 + 7.54600229125358i
6.57788944723618,-7.33483706946799e-15 + 7.71958051834367i
6.5929648241206,1.28317821649276e-15 + 7.8939011275629i
6.60804020100502,-6.45467844667912e-16 + 8.0689899712521i
6.62311557788945,2.27307447385194e-15 + 8.24487332568366i
6.63819095477387,0 + 8.42157790853069i
6.65326633165829,7.23503975341308e-15 + 8.59913089687292i
6.66834170854271,1.98610111107973e-15 + 8.77755994576721i
6.68341708542714,-6.66447363863134e-16 + 8.95689320741123i
6.69849246231156,0 + 9.13715935093087i
6.71356783919598,9.45861841629671e-15 + 9.31838758282235i
6.7286432160804,2.72149828263636e-15 + 9.50060766808219i
6.74371859296483,-2.74101269400749e-15 + 9.68384995205918i
6.75879396984925,6.9025381702239e-16 + 9.86814538306441i
6.77386934673367,4.17227399045362e-15 + 10.053525535777i
6.78894472361809,9.80883831110598e-15 + 10.2400226354852i
6.80402010050251,-7.06013432350658e-15 + 10.427669583204i
6.81909547738694,-1.42305631684529e-15 + 10.6164999817141i
6.83417085427136,-7.17178376671637e-16 + 10.8065481625656i
6.84924623115578,-2.16890125582809e-15 + 10.9978492140983i
6.8643216080402,0 + 11.1904390105259i
6.87939698492462,-7.34972529379431e-16 + 11.3843542421396i
6.89447236180905,5.9295666998735e-15 + 11.5796324466874i
6.90954773869347,0 + 11.7763120419876i
6.92462311557789,-2.26230297137469e-15 + 11.9744323598401i
6.93969849246231,2.28237052621366e-15 + 12.1740336813011i
6.95477386934673,3.07056889659695e-15 + 12.3751572733916i
6.96984924623116,0 + 12.5778454273128i
6.98492462311558,3.90925584460029e-15 + 12.782141498247i
7,-7.89216581624297e-16 + 12.9880899468262i
