"Freq [GHz]","Y(1,1) [mSie]"
4,0.00122864167061515 + 0.412529580838265i
4.01507537688442,0.00123788937582684 + 0.414131341915592i
4.03015075376884,0.00124717814017001 + 0.415734477389872i
4.04522613065327,0.00125648768453363 + 0.417338948322727i
4.06030150753769,0.00126582954504978 + 0.418944844577658i
4.07537688442211,0.00127520538855304 + 0.42055219639886i
4.09045226130653,0.00128462235606995 + 0.422161025553303i
4.10552763819095,0.00129406425087209 + 0.423771427459171i
4.12060301507538,0.00130356074918879 + 0.425383403519643i
4.1356783919598,0.00131307020045207 + 0.426997026593796i
4.15075376884422,0.0013226437677875 + 0.428612334498382i
4.16582914572864,0.00133222534956173 + 0.430229418459325i
4.18090452261307,0.0013418303442802 + 0.431848296662351i
4.19597989949749,0.00135148267687141 + 0.43346907664147i
4.21105527638191,0.00136118651449243 + 0.435091776292728i
4.22613065326633,0.00137092259206637 + 0.436716495459433i
4.24120603015075,0.00138067519580695 + 0.438343296351156i
4.25628140703518,0.00139048290540487 + 0.439972230379347i
4.2713567839196,0.00140030139035345 + 0.441603394081282i
4.28643216080402,0.0014101598937926 + 0.443236862581004i
4.30150753768844,0.00142006369027377 + 0.444872737324276i
4.31658291457286,0.0014299965609805 + 0.446511085225478i
4.33165829145729,0.0014399581195477 + 0.448151999717829i
4.34673366834171,0.00144996407036462 + 0.449795601285513i
4.36180904522613,0.00145998847917463 + 0.451441973744416i
4.37688442211055,0.00147006130462155 + 0.453091240031554i
4.39195979899498,0.00148017962301381 + 0.454743486222265i
4.4070351758794,0.00149030850605696 + 0.456398878542409i
4.42211055276382,0.00150048361126245 + 0.458057513099769i
4.43718592964824,0.00151068995523038 + 0.459719524262944i
4.45226130653266,0.00152093193503202 + 0.461385048563693i
4.46733668341709,0.00153120250312952 + 0.46305426874709i
4.48241206030151,0.00154152758805022 + 0.464727322057782i
4.49748743718593,0.00155187303143122 + 0.466404357796285i
4.51256281407035,0.00156226245080162 + 0.468085576160614i
4.52763819095477,0.0015726713253909 + 0.46977118785685i
4.5427135678392,0.00158311188411179 + 0.471461344831544i
4.55778894472362,0.00159360645071045 + 0.473156294200399i
4.57286432160804,0.00160413589721987 + 0.474856253360573i
