"Freq [GHz]","Y(1,1) [mSie]"
4,1.86264546915749e-08 + 0.382163932313744i
4.01507537688442,1.86264505377408e-08 + 0.384605056715826i
4.03015075376884,1.86264532961775e-08 + 0.387077483996536i
4.04522613065327,1.86264484469827e-08 + 0.389600434262557i
4.06030150753769,1.86264526432531e-08 + 0.392187898873643i
4.07537688442211,1.86264531874251e-08 + 0.394851981381479i
4.09045226130653,1.8626452818253e-08 + 0.397604450742166i
4.10552763819095,1.86264534656477e-08 + 0.400457621256291i
4.12060301507538,1.86264521528884e-08 + 0.403424969841433i
4.1356783919598,1.86264512710057e-08 + 0.406521668651885i
4.15075376884422,1.86264539773731e-08 + 0.409765126306953i
4.16582914572864,1.86264514143163e-08 + 0.413175600358279i
4.18090452261307,1.86264564774273e-08 + 0.416776936533973i
4.19597989949749,1.8626453490416e-08 + 0.420597496458388i
4.21105527638191,1.86264524115169e-08 + 0.424671352464107i
4.22613065326633,1.8626448406836e-08 + 0.429039857322682i
4.24120603015075,1.86264526072012e-08 + 0.433753743144864i
4.25628140703518,1.86264505045565e-08 + 0.438875976675253i
4.2713567839196,1.86264485002662e-08 + 0.444485714250376i
4.28643216080402,1.86264512621932e-08 + 0.450683888137222i
4.30150753768844,1.86264526809674e-08 + 0.45760127019131i
4.31658291457286,1.86264507452197e-08 + 0.465410399138682i
4.33165829145729,1.86264518324553e-08 + 0.474343720591952i
4.34673366834171,1.86264576120655e-08 + 0.484722075822557i
4.36180904522613,1.86264570437556e-08 + 0.497001152328213i
4.37688442211055,1.86264544844953e-08 + 0.511850660984519i
4.39195979899498,1.86264535120221e-08 + 0.530296720332221i
4.4070351758794,1.86264550478885e-08 + 0.553995351623267i
4.42211055276382,1.86264523010687e-08 + 0.585803472884798i
4.43718592964824,1.86264530380874e-08 + 0.631108541896199i
4.45226130653266,1.86264534985345e-08 + 0.701427296398707i
4.46733668341709,1.86264527616351e-08 + 0.826586981457637i
4.48241206030151,1.86264507679431e-08 + 1.11512130822928i
4.49748743718593,1.86264556166147e-08 + 2.51711921555408i
4.51256281407035,1.86264510023319e-08 - 1.86722941410255i
4.52763819095477,1.86264516728335e-08 - 0.341467390115584i
4.5427135678392,1.86264545469506e-08 - 0.0430419116621328i
4.55778894472362,1.86264523671157e-08 + 0.0848421244957594i
4.57286432160804,1.86264509773127e-08 + 0.156281393783712i
4.58793969849246,1.8626452065351e-08 + 0.202153018094599i
4.60301507537688,1.8626453148189e-08 + 0.234286304413564i
4.61809045226131,1.86264514333611e-08 + 0.258188218380138i
4.63316582914573,1.86264495242633e-08 + 0.276769365932249i
4.64824120603015,1.86264528400866e-08 + 0.291712785157417i
4.66331658291457,1.86264509547741e-08 + 0.304059387259069i
4.678391959799,1.86264534757559e-08 + 0.314487527921866i
4.69346733668342,1.86264524219846e-08 + 0.323458213821148i
4.70854271356784,1.86264556125732e-08 + 0.331295696949803i
4.72361809045226,1.86264533412756e-08 + 0.338234683030636i
4.73869346733668,1.86264494603658e-08 + 0.344449246978418i
4.75376884422111,1.86264499147501e-08 + 0.350071223529024i
4.76884422110553,1.86264543234322e-08 + 0.355202286790061i
4.78391959798995,1.86264513296289e-08 + 0.359922108738739i
4.79899497487437,1.86264502264618e-08 + 0.364294005370657i
4.81407035175879,1.86264533277605e-08 + 0.368368929039267i
4.82914572864322,1.86264543848876e-08 + 0.372188345833119i
4.84422110552764,1.86264525340882e-08 + 0.375786345112737i
4.85929648241206,1.86264548781635e-08 + 0.379191210079971i
4.87437185929648,1.8626455353881e-08 + 0.382426603470261i
4.8894472361809,1.86264565208168e-08 + 0.385512474086076i
4.90452261306533,1.86264550285565e-08 + 0.388465757955727i
4.91959798994975,1.86264512547276e-08 + 0.391300926424881i
4.93467336683417,1.86264551849941e-08 + 0.394030418797179i
4.94974874371859,1.86264550887816e-08 + 0.396664986933833i
4.96482412060301,1.86264543238826e-08 + 0.399213972028867i
4.97989949748744,1.86264516924163e-08 + 0.401685528639702i
4.99497487437186,1.86264532556609e-08 + 0.404086807339075i
5.01005025125628,1.86264481562802e-08 + 0.406424104638732i
5.0251256281407,1.86264546734345e-08 + 0.408702986828558i
5.04020100502513,1.86264534789195e-08 + 0.410928392876976i
5.05527638190955,1.86264563859273e-08 + 0.413104720410183i
5.07035175879397,1.86264548662978e-08 + 0.415235897930351i
5.08542713567839,1.86264528956188e-08 + 0.417325445776154i
5.10050251256281,1.8626454288119e-08 + 0.419376527821823i
5.11557788944724,1.86264544183887e-08 + 0.421391995516754i
5.13065326633166,1.86264527298707e-08 + 0.423374425559097i
5.14572864321608,1.86264563946239e-08 + 0.425326152253915i
5.1608040201005,1.86264503667329e-08 + 0.427249295414671i
5.17587939698492,1.86264538030908e-08 + 0.429145784515392i
5.19095477386935,1.86264526179124e-08 + 0.431017379683602i
5.20603015075377,1.86264497292543e-08 + 0.432865690041156i
5.22110552763819,1.86264523953426e-08 + 0.434692189869839i
5.23618090452261,1.86264526165144e-08 + 0.436498233196705i
5.25125628140704,1.86264541132745e-08 + 0.438285068210873i
5.26633165829146,1.86264516521886e-08 + 0.440053859314156i
5.28140703517588,1.8626457464112e-08 + 0.441805872918941i
5.2964824120603,1.86264542908371e-08 + 0.443540875811603i
5.31155778894472,1.86264506663405e-08 + 0.445261601187433i
5.32663316582915,1.86264498910925e-08 + 0.44696789292157i
5.34170854271357,1.86264522870247e-08 + 0.448660641858558i
5.35678391959799,1.86264504841343e-08 + 0.45034058597853i
5.37185929648241,1.86264529649193e-08 + 0.452008403172001i
5.38693467336683,1.86264530797795e-08 + 0.453664723478455i
5.40201005025126,1.86264528049286e-08 + 0.455310134662235i
5.41708542713568,1.86264532289624e-08 + 0.456945186263237i
5.4321608040201,1.86264556520966e-08 + 0.458570393012806i
5.44723618090452,1.86264513949877e-08 + 0.460186237863003i
5.46231155778894,1.86264506120532e-08 + 0.461793174731129i
5.47738693467337,1.86264509410754e-08 + 0.463391631018i
5.49246231155779,1.86264539298499e-08 + 0.46498200994297i
5.50753768844221,1.86264512166524e-08 + 0.46656469273283i
5.52261306532663,1.8626451703976e-08 + 0.468140040700096i
5.53768844221106,1.86264519837945e-08 + 0.469708397247446i
5.55276381909548,1.86264531384074e-08 + 0.471270089838835i
5.5678391959799,1.86264522252688e-08 + 0.472825431984693i
5.58291457286432,1.86264526563548e-08 + 0.474374725299589i
5.59798994974874,1.8626450628806e-08 + 0.475918261707639i
5.61306532663317,1.86264558347349e-08 + 0.477456325896654i
5.62814070351759,1.86264516233815e-08 + 0.478989198161318i
5.64321608040201,1.8626454975581e-08 + 0.4805171578363i
5.65829145728643,1.86264524145318e-08 + 0.482040487615385i
5.67336683417085,1.86264550396054e-08 + 0.483559479205147i
5.68844221105528,1.86264512239725e-08 + 0.485074441011945i
5.7035175879397,1.86264544085295e-08 + 0.486585708983711i
5.71859296482412,1.86264561060129e-08 + 0.488093662465402i
5.73366834170854,1.86264523631786e-08 + 0.489598748262597i
5.74874371859297,1.86264558014602e-08 + 0.491101518633441i
5.76381909547739,1.86264528016106e-08 + 0.492602693952205i
5.77889447236181,1.86264525451209e-08 + 0.494103271389836i
5.79396984924623,1.86264514762081e-08 + 0.495604724991419i
5.80904522613065,1.86264518132704e-08 + 0.497109402004295i
5.82412060301508,1.86264519305646e-08 + 0.498621384660307i
5.8391959798995,1.86264572280937e-08 + 0.500148611399379i
5.85427135678392,1.86264514058581e-08 + 0.501709098004519i
5.86934673366834,1.86264536332728e-08 + 0.503354900386542i
5.88442211055276,1.86264533422565e-08 + 0.505326331520981i
5.89949748743719,1.86264580680576e-08 + 0.517120138757578i
5.91457286432161,1.86264525030578e-08 + 0.505846597527152i
5.92964824120603,1.86264521053587e-08 + 0.507996586249716i
5.94472361809045,1.86264514550751e-08 + 0.509662755597385i
5.95979899497487,1.86264494980271e-08 + 0.5112157118422i
5.9748743718593,1.86264474185485e-08 + 0.512723353237729i
5.98994974874372,1.86264518952393e-08 + 0.514207565076581i
6.00502512562814,1.86264485439329e-08 + 0.515677578681616i
6.02010050251256,1.86264495865713e-08 + 0.517137982361269i
6.03517587939699,1.8626449515831e-08 + 0.518591329503359i
6.05025125628141,1.86264502097677e-08 + 0.520039165475113i
6.06532663316583,1.86264487154783e-08 + 0.521482489124714i
6.08040201005025,1.86264548710572e-08 + 0.522921981574049i
6.09547738693467,1.86264516302756e-08 + 0.524358128612612i
6.1105527638191,1.86264563945501e-08 + 0.525791290286462i
6.12562814070352,1.86264500322632e-08 + 0.527221742493738i
6.14070351758794,1.86264517080057e-08 + 0.528649702911673i
6.15577889447236,1.86264486853824e-08 + 0.530075347744549i
6.17085427135678,1.86264538677246e-08 + 0.53149882288129i
6.18592964824121,1.86264556118872e-08 + 0.532920251532128i
6.20100502512563,1.86264495370043e-08 + 0.534339739581817i
6.21608040201005,1.86264499333522e-08 + 0.53575737942317i
6.23115577889447,1.8626453922925e-08 + 0.537173252755741i
6.24623115577889,1.862644820164e-08 + 0.538587432665112i
6.26130653266332,1.86264520159213e-08 + 0.539999985192745i
6.27638190954774,1.86264545105978e-08 + 0.541410970538875i
6.29145728643216,1.8626449484766e-08 + 0.54282044399702i
