capSim:LastAdaptive
Problem Type:  C
C Units:pF, G Units:mSie
Reduce Matrix:  Original
Frequency:  5GHz

Capacitance Matrix
,Q0Pad1,Q0Pad2,Q1Pad1,Q1Pad2,Q2Pad1,Q2Pad2,Q3Pad1,Q3Pad2,Q4Pad1,Q4Pad2,Q5Pad1,Q5Pad2,Q6Pad1,Q6Pad2,Q7Pad1,Q7Pad2,R0Pad1,R0Pad2,R1Pad1,R1Pad2,R2Pad1,R2Pad2,R3Pad1,R3Pad2,R4Pad1,R4Pad2,R5Pad1,R5Pad2,R6Pad1,R6Pad2,R7Pad1,R7Pad2,
Q6Pad1,-0.00000,-0.00000,-0.00000, 0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00001,-0.00001,-0.00012,-0.00012, 0.11809,-0.04254,-0.00002,-0.00001,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00001,-0.00000,-0.00059,-0.00000,-0.00000
Q6Pad2,-0.00000,-0.00000, 0.00000,-0.00000, 0.00000,-0.00000, 0.00000,-0.00001,-0.00001,-0.00001,-0.00006,-0.00005,-0.04254, 0.12259,-0.00001,-0.00002,-0.00000,-0.00000,-0.00000, 0.00000,-0.00000,-0.00000, 0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00949,-0.00000,-0.00000
Q7Pad1,-0.00001, 0.00000,-0.00001, 0.00000,-0.00000,-0.00000,-0.00000,-0.00000, 0.00000,-0.00000,-0.00002,-0.00001,-0.00002,-0.00001, 0.11803,-0.04256,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000, 0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00059
Q7Pad2,-0.00000,-0.00001, 0.00000,-0.00001,-0.00000,-0.00000, 0.00000, 0.00000,-0.00000,-0.00000,-0.00001,-0.00000,-0.00001,-0.00002,-0.04256, 0.12265, 0.00000,-0.00000, 0.00000, 0.00000, 0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000, 0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00949
R0Pad1,-0.00000, 0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000, 0.00000, 0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000, 0.00000, 0.07272,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000
R0Pad2,-0.01566,-0.00061,-0.00006,-0.00005,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000, 0.02627,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000
R1Pad1,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000, 0.00000,-0.00000,-0.00000, 0.07278,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000
R1Pad2,-0.00006,-0.00005,-0.01566,-0.00061,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000, 0.00000,-0.00000, 0.00000,-0.00000,-0.00000,-0.00000, 0.02627,-0.00000,-0.00000, 0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000
R2Pad1, 0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000, 0.00000,-0.00000,-0.00000,-0.00000,-0.00000, 0.07277,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000, 0.00000,-0.00000,-0.00000,-0.00000
R2Pad2,-0.00000,-0.00000,-0.00000,-0.00000,-0.01563,-0.00064,-0.00006,-0.00005,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000, 0.02627,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000
