Index Order
Q0,Q1,R0,R1
""
H (GHz)
,[0-0-0-0],[1-0-0-0],[0-1-0-0],[0-0-1-0],[0-0-0-1],[2-0-0-0],[1-1-0-0],[1-0-1-0],[1-0-0-1],[0-2-0-0],[0-1-1-0],[0-1-0-1],[0-0-2-0],[0-0-1-1],[0-0-0-2]
[0-0-0-0],0.0,0.0,0.0,0.0,0.0,-0.15996418808981683,-0.024727475103259528,-0.0532396545256604,-0.00012314525150092432,-0.19695803219496216,-0.00041960172345741,-0.03564416306143417,0.0,-0.00027256617345479807,0.0
[1-0-0-0],0.0,4.961854202545563,0.024727475103259528,0.0532396545256604,0.00012314525150092432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0-1-0-0],0.0,0.024727475103259528,5.492816448213759,0.00041960172345741,0.03564416306143417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0-0-1-0],0.0,0.0532396545256604,0.00041960172345741,5.9639427534475615,0.00027256617345479807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0-0-0-1],0.0,0.00012314525150092432,0.03564416306143417,0.00027256617345479807,6.0866208573771825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[2-0-0-0],-0.15996418808981652,0.0,0.0,0.0,0.0,9.707649745359932,0.03496993065427268,0.07529224148624707,0.00017415368481445295,0.0,0.0,0.0,0.0,0.0,0.0
[1-1-0-0],-0.024727475103259528,0.0,0.0,0.0,0.0,0.03496993065427268,10.454670650759322,0.00041960172345741,0.03564416306143417,0.03496993065427268,0.0532396545256604,0.00012314525150092432,0.0,0.0,0.0
[1-0-1-0],-0.0532396545256604,0.0,0.0,0.0,0.0,0.07529224148624707,0.00041960172345741,10.925796955993125,0.00027256617345479807,0.0,0.024727475103259528,0.0,0.07529224148624707,0.00012314525150092432,0.0
[1-0-0-1],-0.00012314525150092432,0.0,0.0,0.0,0.0,0.00017415368481445295,0.03564416306143417,0.00027256617345479807,11.04847505992275,0.0,0.0,0.024727475103259528,0.0,0.0532396545256604,0.0001741536848144529
[0-2-0-0],-0.19695803219496216,0.0,0.0,0.0,0.0,0.0,0.03496993065427268,0.0,0.0,10.720991017626329,0.0005934064481085942,0.050408458820918316,0.0,0.0,0.0
[0-1-1-0],-0.00041960172345741,0.0,0.0,0.0,0.0,0.0,0.0532396545256604,0.024727475103259528,0.0,0.0005934064481085942,11.456759201661324,0.00027256617345479807,0.0005934064481085943,0.03564416306143417,0.0
[0-1-0-1],-0.03564416306143417,0.0,0.0,0.0,0.0,0.0,0.00012314525150092432,0.0,0.024727475103259528,0.050408458820918316,0.00027256617345479807,11.579437305590947,0.0,0.00041960172345741,0.05040845882091831
[0-0-2-0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07529224148624707,0.0,0.0,0.0005934064481085943,0.0,11.927885506895123,0.00038546677914391296,0.0
[0-0-1-1],-0.00027256617345479807,0.0,0.0,0.0,0.0,0.0,0.0,0.00012314525150092432,0.0532396545256604,0.0,0.03564416306143417,0.00041960172345741,0.00038546677914391296,12.050563610824748,0.0003854667791439129
[0-0-0-2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001741536848144529,0.0,0.0,0.05040845882091831,0.0,0.0003854667791439129,12.173241714754369
""
H_evals
