"Freq [GHz]","Y(1,1) [mSie]"
4,0.00499806798507101 - 34.7530882769509i
4.01507537688442,0.00489869610993317 - 34.0316086882699i
4.03015075376884,0.00480373847435372 - 33.3531084239439i
4.04522613065327,0.00471287115201059 - 32.7063981873745i
4.06030150753769,0.00462583143126846 - 32.0852646334048i
4.07537688442211,0.0045423925337941 - 31.4858618192269i
4.09045226130653,0.0044623522050961 - 30.9055964967919i
4.10552763819095,0.0043855267717029 - 30.3425954527877i
4.12060301507538,0.0043117476459406 - 29.7954281891548i
4.1356783919598,0.00424085904794064 - 29.2629523072955i
4.15075376884422,0.00417271639031914 - 28.7442222970812i
4.16582914572864,0.00410718505484806 - 28.2384330960402i
4.18090452261307,0.00404413941836906 - 27.7448836895041i
4.19597989949749,0.00398346204977472 - 27.2629527635674i
4.21105527638191,0.00392504303135319 - 26.7920818789516i
4.22613065326633,0.00386877937653501 - 26.3317634925682i
4.24120603015075,0.00381457452748138 - 25.8815321952085i
4.25628140703518,0.00376233792173536 - 25.4409581388758i
4.2713567839196,0.00371198462446065 - 25.0096419899841i
4.28643216080402,0.00366343502665435 - 24.5872109680896i
4.30150753768844,0.00361661461719527 - 24.1733156706057i
4.31658291457286,0.00357145384548026 - 23.7676274740249i
4.33165829145729,0.00352788810790702 - 23.3698363597348i
4.34673366834171,0.00348585791922287 - 22.9796490475355i
4.36180904522613,0.00344530938523041 - 22.5967873364831i
4.37688442211055,0.00340619520570112 - 22.2209865483662i
4.39195979899498,0.00336847668462445 - 21.8519939302463i
4.4070351758794,0.0033321278179853 - 21.489566756231i
4.42211055276382,0.00329714409872917 - 21.1334695417809i
4.43718592964824,0.00326356341402942 - 20.7834687815102i
4.45226130653266,0.00323152344942099 - 20.4393200001398i
4.46733668341709,0.00320145932111185 - 20.1007250461251i
4.48241206030151,0.00317511234386228 - 19.7671170813864i
4.49748743718593,0.00316961383511203 - 19.4346770522725i
4.51256281407035,0.00307421590553277 - 19.1267876785496i
4.52763819095477,0.00306629055472942 - 18.8054681156509i
4.5427135678392,0.00304350553693341 - 18.4924074465463i
4.55778894472362,0.00301921978993643 - 18.1845815052963i
4.57286432160804,0.00299498880675436 - 17.881505176003i
4.58793969849246,0.00297122449180758 - 17.5829439933148i
4.60301507537688,0.00294807085004294 - 17.2887264403856i
4.61809045226131,0.00292558251256194 - 16.9987054888406i
4.63316582914573,0.00290377774554173 - 16.7127469981129i
4.64824120603015,0.0028826580724937 - 16.4307252680713i
4.66331658291457,0.00286221669159114 - 16.1525210017234i
4.678391959799,0.00284244248877315 - 15.8780202234923i
4.69346733668342,0.00282332210758297 - 15.607113626164i
4.70854271356784,0.00280484108178659 - 15.3396961304781i
4.72361809045226,0.00278698448380038 - 15.0756665597844i
4.73869346733668,0.0027697373077554 - 14.8149273820578i
4.75376884422111,0.00275308470081752 - 14.5573844943275i
4.76884422110553,0.0027370121039053 - 14.3029470356895i
4.78391959798995,0.00272150533705446 - 14.0515272208106i
4.79899497487437,0.00270655064955021 - 13.80304018895i
4.81407035175879,0.00269213474771593 - 13.5574038652915i
4.82914572864322,0.00267824480792142 - 13.3145388324242i
4.84422110552764,0.00266486847993473 - 13.0743682104505i
4.85929648241206,0.00265199388381489 - 12.8368175446019i
4.87437185929648,0.00263960960263696 - 12.6018146995136i
4.8894472361809,0.00262770467235861 - 12.3692897594869i
4.90452261306533,0.00261626857000487 - 12.1391749341929i
4.91959798994975,0.00260529120069866 - 11.9114044693643i
4.93467336683417,0.00259476288418561 - 11.6859145620885i
4.94974874371859,0.00258467434109613 - 11.4626432803642i
4.96482412060301,0.00257501667912022 - 11.2415304866279i
4.97989949748744,0.00256578137940131 - 11.0225177649851i
4.99497487437186,0.00255696028318664 - 10.8055483519094i
5.01005025125628,0.00254854557869532 - 10.5905670701943i
5.0251256281407,0.00254052978855 - 10.3775202659611i
5.04020100502513,0.00253290575746872 - 10.1663557485421i
