Capacitance (F)
,Q0Pad1,Q0Pad2,Q1Pad1,Q1Pad2,R0Pad1,R0Pad2,R1Pad1,R1Pad2
Q0Pad1,1.2415e-13,-4.29e-14,-3.83e-15,-2.5400000000000003e-15,-0.0,-1.146e-14,-0.0,-5e-17
Q0Pad2,-4.29e-14,1.1794e-13,-2.5400000000000003e-15,-3.87e-15,-0.0,-1.2899999999999999e-15,-0.0,-4e-17
Q1Pad1,-3.83e-15,-2.5400000000000003e-15,1.0405e-13,-2.895e-14,-0.0,-4e-17,-0.0,-6.6499999999999996e-15
Q1Pad2,-2.5400000000000003e-15,-3.87e-15,-2.895e-14,1.0178e-13,-0.0,-4e-17,-0.0,-1.22e-15
R0Pad1,-0.0,-0.0,-0.0,-0.0,7.348e-14,-0.0,-0.0,-0.0
R0Pad2,-1.146e-14,-1.2899999999999999e-15,-4e-17,-4e-17,-0.0,2.48e-14,-0.0,-0.0
R1Pad1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,7.338e-14,-0.0
R1Pad2,-5e-17,-4e-17,-6.6499999999999996e-15,-1.22e-15,-0.0,-0.0,-0.0,2.3630000000000003e-14
""
Capacitance To Ground (F)
Q0Pad1,6.337000000000002e-14
Q0Pad2,6.73e-14
Q1Pad1,6.203999999999999e-14
Q1Pad2,6.516e-14
R0Pad1,7.348e-14
R0Pad2,1.1969999999999998e-14
R1Pad1,7.338e-14
R1Pad2,1.5670000000000004e-14
