Index Order
Q0,Q1,R0,R1
""
H (GHz)
,[0-0-0-0],[1-0-0-0],[0-1-0-0],[0-0-1-0],[0-0-0-1],[2-0-0-0],[1-1-0-0],[1-0-1-0],[1-0-0-1],[0-2-0-0],[0-1-1-0],[0-1-0-1],[0-0-2-0],[0-0-1-1],[0-0-0-2]
[0-0-0-0],5.953717589936844,0.0,0.0,0.0,0.0,-0.11822891302683962,-0.023710552381138093,-0.017622972095708917,-4.863128662991735e-05,-0.1709160524633174,-0.00011976749066555038,-0.010364103400682155,17.67387578162368,-2.53978930047398e-05,22.483660712613236
[1-0-0-0],0.0,10.907922607418222,0.023710552381138093,0.017622972095708917,4.863128662991735e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0-1-0-0],0.0,0.023710552381138093,11.45275973376972,0.00011976749066555038,0.010364103400682155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0-0-1-0],0.0,0.017622972095708917,0.00011976749066555038,31.643079046600175,2.53978930047398e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0-0-0-1],0.0,4.863128662991735e-05,0.010364103400682155,2.53978930047398e-05,38.32184514463836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[2-0-0-0],-0.11822891302683962,0.0,0.0,0.0,0.0,15.641114958233246,0.03353178474876318,0.024922646147074155,6.877502510768247e-05,0.0,0.0,0.0,0.0,0.0,0.0
[1-1-0-0],-0.023710552381138093,0.0,0.0,0.0,0.0,0.03353178474876318,16.406964751251092,0.00011976749066555038,0.010364103400682155,0.03353178474876318,0.017622972095708917,4.863128662991735e-05,0.0,0.0,0.0
[1-0-1-0],-0.017622972095708917,0.0,0.0,0.0,0.0,0.024922646147074155,0.00011976749066555038,36.59728406408155,2.53978930047398e-05,0.0,0.023710552381138093,0.0,0.024922646147074155,4.863128662991735e-05,0.0
[1-0-0-1],-4.863128662991735e-05,0.0,0.0,0.0,0.0,6.877502510768247e-05,0.010364103400682155,2.53978930047398e-05,43.27605016211974,0.0,0.0,0.023710552381138093,0.0,0.017622972095708917,6.877502510768247e-05
[0-2-0-0],-0.1709160524633177,0.0,0.0,0.0,0.0,0.0,0.03353178474876318,0.0,0.0,16.682520349338684,0.00016937680963061442,0.014657055591081821,0.0,0.0,0.0
[0-1-1-0],-0.00011976749066555038,0.0,0.0,0.0,0.0,0.0,0.017622972095708917,0.023710552381138093,0.0,0.00016937680963061442,37.142121190433045,2.53978930047398e-05,0.00016937680963061442,0.010364103400682155,0.0
[0-1-0-1],-0.010364103400682155,0.0,0.0,0.0,0.0,0.0,4.863128662991735e-05,0.0,0.023710552381138093,0.014657055591081821,2.53978930047398e-05,43.82088728847123,0.0,0.00011976749066555038,0.014657055591081821
[0-0-2-0],17.67387578162368,0.0,0.0,0.0,0.0,0.0,0.0,0.024922646147074155,0.0,0.0,0.00016937680963061442,0.0,57.33244050326348,3.5918044743003794e-05,0.0
[0-0-1-1],-2.53978930047398e-05,0.0,0.0,0.0,0.0,0.0,0.0,4.863128662991735e-05,0.017622972095708917,0.0,0.010364103400682155,0.00011976749066555038,3.5918044743003794e-05,64.0112066013017,3.5918044743003794e-05
[0-0-0-2],22.483660712613236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.877502510768247e-05,0.0,0.0,0.014657055591081821,0.0,3.5918044743003794e-05,70.68997269933986
""
H_evals
