Capacitance (F)
,Q0,Q1,R0,R1
Q0,8.19543557341797e-14,-6.42605658703880e-16,-4.90660028758137e-15,1.16318433054212e-17
Q1,-6.42605658703880e-16,6.58883821141959e-14,1.04533312293771e-17,-2.66861687029297e-15
R0,-4.90660028758137e-15,1.04533312293771e-17,8.41374880116103e-13,-6.67226161355825e-17
R1,1.16318433054212e-17,-2.66861687029297e-15,-6.67226161355826e-17,8.25232068114936e-13
